Date,Close,Daily_Return,Sentiment_Score,Sentiment_Label,Next_Day_Return,Rolling_Sentiment
2023-01-02,16688.470703125,0.38129515588565255,0.17346170033670033,Positive,-0.0516121662866742,
2023-01-03,16679.857421875,-0.0516121662866742,0.019301136363636364,Positive,1.0994150293785143,
2023-01-04,16863.23828125,1.0994150293785143,-0.026388888888888892,Negative,-0.15715814888571655,
2023-01-05,16836.736328125,-0.15715814888571655,0.011742424242424242,Positive,0.6844106816741524,
2023-01-06,16951.96875,0.6844106816741524,0.10996650175221603,Positive,0.018342264818071996,
2023-01-07,16955.078125,0.018342264818071996,0.19777777777777777,Positive,0.8025112314249405,
2023-01-08,17091.14453125,0.8025112314249405,0.0435204991087344,Positive,0.6167530562816603,0.07562587867037147
2023-01-09,17196.5546875,0.6167530562816603,0.07728586889301174,Positive,1.4522576515372032,0.06188647417841595
2023-01-10,17446.29296875,1.4522576515372032,0.14583333333333334,Positive,2.800615102017323,0.0799625023169441
2023-01-11,17934.896484375,2.800615102017323,0.08953613516113516,Positive,5.211579598824612,0.0965232200383761
2023-01-12,18869.587890625,5.211579598824612,0.11567435720844811,Positive,5.511441660269112,0.11137063903352236
2023-01-13,19909.57421875,5.511441660269112,0.025288857967429395,Positive,5.357847423830919,0.09927383277855284
2023-01-14,20976.298828125,5.357847423830919,0.0026839826839826835,Positive,-0.4552757413617381,0.07140329062229642
2023-01-15,20880.798828125,-0.4552757413617381,0.15442176870748298,Positive,1.3832516023570829,0.08724632913640333
2023-01-16,21169.6328125,1.3832516023570829,0.1274172278338945,Positive,-0.03832509199314105,0.09440795184224374
2023-01-17,21161.51953125,-0.03832509199314105,0.1119503862150921,Positive,-2.2339524368838015,0.08956753082535214
2023-01-18,20688.78125,-2.2339524368838015,0.0933015672599006,Positive,1.9238045679950355,0.09010544969660435
2023-01-19,21086.79296875,1.9238045679950355,0.04262318563789152,Positive,7.539125404137925,0.07966956804366768
2023-01-20,22676.552734375,7.539125404137925,0.09333333333333334,Positive,0.4457126566322689,0.08939020738165396
2023-01-21,22777.625,0.4457126566322689,0.032999999999999995,Positive,-0.2511630794474806,0.09372106699822787
2023-01-22,22720.416015625,-0.2511630794474806,0.005681818181818177,Positive,0.9419529327844067,0.0724725026374186
2023-01-23,22934.431640625,0.9419529327844067,0.06950426887926887,Positive,-1.2991945703908492,0.0641992227867578
2023-01-24,22636.46875,-1.2991945703908492,0.07002665544332211,Positive,2.1266153759075257,0.058210118390790655
2023-01-25,23117.859375,2.1266153759075257,0.019069564694564698,Positive,-0.3680359408276712,0.04760554659574267
2023-01-26,23032.77734375,-0.3680359408276712,-0.05547401094276094,Negative,0.19950339114214177,0.03359166136993518
2023-01-27,23078.728515625,0.19950339114214177,-0.0216903409090909,Negative,-0.20641809553220147,0.017159707906731714
2023-01-28,23031.08984375,-0.20641809553220147,0.2222222222222222,Positive,3.2281432079158012,0.04419145393847774
2023-01-29,23774.56640625,3.2281432079158012,0.2333333333333333,Positive,-3.9303670923283462,0.07671309896012277
2023-01-30,22840.138671875,-3.9303670923283462,0.12649281934996223,Positive,1.3097316769725253,0.0848543204559361
2023-01-31,23139.283203125,1.3097316769725253,0.13662618245951577,Positive,2.525948288865165,0.09436853860110662
2023-02-01,23723.76953125,2.525948288865165,0.20795454545454545,Positive,-1.061797692681965,0.12135210728110388
2023-02-02,23471.87109375,-1.061797692681965,0.008680555555555554,Positive,-0.09606745041729203,0.13051704535229194
2023-02-03,23449.322265625,-0.09606745041729203,-0.01771885521885522,Negative,-0.5009723012217249,0.13108440045089703
2023-02-04,23331.84765625,-0.5009723012217249,0.08333333333333333,Positive,-1.612309690031044,0.1112431306096272
2023-02-05,22955.666015625,-1.612309690031044,0.01357190603514133,Positive,-0.8518883333286542,0.07984864099559977
2023-02-06,22760.109375,-0.8518883333286542,0.10569940476190479,Positive,2.2151986720186922,0.07687815319730586
2023-02-07,23264.291015625,2.2151986720186922,-0.016904761904761905,Negative,-1.3965290320121615,0.054945161145266194
2023-02-08,22939.3984375,-1.3965290320121615,0.08848340548340548,Positive,-4.883996317743455,0.03787785543510334
2023-02-09,21819.0390625,-4.883996317743455,0.0,Neutral,-0.7693073387383564,0.03663777607002396
2023-02-10,21651.18359375,-0.7693073387383564,0.14359015323301036,Positive,1.0146854341645195,0.0596819201345762
2023-02-11,21870.875,1.0146854341645195,0.11440275773609107,Positive,-0.3779998514005456,0.06412040933497017
2023-02-12,21788.203125,-0.3779998514005456,0.10643939393939394,Positive,0.09132665684197239,0.07738719332129196
2023-02-13,21808.1015625,0.09132665684197239,0.0715909090909091,Positive,1.8924303145655852,0.0725145510825783
2023-02-14,22220.8046875,1.8924303145655852,0.09301272529213706,Positive,9.392266116037785,0.08821704925356386
2023-02-15,24307.841796875,9.392266116037785,0.12899477973007384,Positive,-2.8154173176657027,0.09400438843165934
2023-02-16,23623.474609375,-2.8154173176657027,0.08950757575757576,Positive,3.9880964536483487,0.10679118496845587
2023-02-17,24565.6015625,3.9880964536483487,0.0753030303030303,Positive,0.30805588480080637,0.09703588169274444
2023-02-18,24641.27734375,0.30805588480080637,0.03125,Positive,-1.2728023845912761,0.08515691630187429
2023-02-19,24327.642578125,-1.2728023845912761,0.10515151515151518,Positive,2.0614650916729094,0.08497293361789161
2023-02-20,24829.1484375,2.0614650916729094,-0.023811327561327558,Negative,-1.5819911136450981,0.07134404266757208
2023-02-21,24436.353515625,-1.5819911136450981,0.05201465201465202,Positive,-1.012875204423358,0.06548717505650278
2023-02-22,24188.84375,-1.012875204423358,-0.03294753086419753,Negative,-0.997780485063493,0.04235255925732116
2023-02-23,23947.4921875,-0.997780485063493,0.07897727272727272,Positive,-3.1292012896705357,0.04084823025299216
2023-02-24,23198.126953125,-3.1292012896705357,0.15343434343434342,Positive,-0.09807668166905703,0.05200984641460832
2023-02-25,23175.375,-0.09807668166905703,0.12361111111111112,Positive,1.6648614774302573,0.06520429085905276
2023-02-26,23561.212890625,1.6648614774302573,0.06971590909090909,Positive,-0.16273269569350157,0.06014206142182332
2023-02-27,23522.87109375,-0.16273269569350157,0.11372701372701373,Positive,-1.596393470118429,0.07979039589158636
2023-02-28,23147.353515625,-1.596393470118429,-0.030889249639249643,Negative,2.156606219747892,0.06794698136960041
2023-03-01,23646.55078125,2.156606219747892,0.16023219205037387,Positive,-0.7235050302163204,0.09554408464311061
2023-03-02,23475.466796875,-0.7235050302163204,0.09036424512987012,Positive,-4.740212916759257,0.09717079498633881
2023-03-03,22362.6796875,-4.740212916759257,-0.01916701023843882,Negative,-0.04172164631153219,0.07251345874736992
2023-03-04,22353.349609375,-0.04172164631153219,0.026916666666666672,Positive,0.36756935285233716,0.058699966683877856
2023-03-05,22435.513671875,0.36756935285233716,0.024675099206349208,Positive,-0.025655126328649747,0.05226556527179788
2023-03-06,22429.7578125,-0.025655126328649747,0.5,Positive,-0.9362039617430651,0.10744742045365306
2023-03-07,22219.76953125,-0.9362039617430651,0.0725565927128427,Positive,-2.257851740628636,0.1222253979325234
2023-03-08,21718.080078125,-2.257851740628636,-0.0055766300026504146,Negative,-6.239311158608585,0.09853842335351992
2023-03-09,20363.021484375,-6.239311158608585,0.06444444444444446,Positive,-0.8632183779056501,0.0948355946841734
2023-03-10,20187.244140625,-0.8632183779056501,0.10125790875790876,Positive,2.2051846825845045,0.1120391545407945
2023-03-11,20632.41015625,2.2051846825845045,0.11876736111111111,Positive,7.4229770099644155,0.12516068231857227
2023-03-12,22163.94921875,7.4229770099644155,0.018672138047138045,Positive,9.175187888693825,0.12430311643868495
2023-03-13,24197.533203125,9.175187888693825,0.09987244897959184,Positive,2.2669294883089997,0.06714203772148378
2023-03-14,24746.07421875,2.2669294883089997,0.047567471590909086,Positive,-1.4956444322371198,0.06357216327549327
2023-03-15,24375.9609375,-1.4956444322371198,0.039571035025580466,Positive,2.7766213062754286,0.07002182970809769
2023-03-16,25052.7890625,2.7766213062754286,0.11814296814296814,Positive,9.464577453171529,0.07769304737931534
2023-03-17,27423.9296875,9.464577453171529,0.022266414141414146,Positive,-1.6702594648891012,0.06640854814838755
2023-03-18,26965.87890625,-1.6702594648891012,0.06696969696969697,Positive,3.9783493752593824,0.05900888184247124
2023-03-19,28038.67578125,3.9783493752593824,0.11943452380952382,Positive,-0.9680894177838351,0.07340350837995492
2023-03-20,27767.236328125,-0.9680894177838351,0.11094065656565656,Positive,1.4714466837708162,0.07498468089224988
2023-03-21,28175.81640625,1.4714466837708162,0.11692821067821067,Positive,-3.0820008681536337,0.08489335790472154
2023-03-22,27307.4375,-3.0820008681536337,0.22400042087542088,Positive,3.7591779025402783,0.1112404130261273
2023-03-23,28333.97265625,3.7591779025402783,0.060079966329966324,Positive,-2.967065403073854,0.10294569848141277
2023-03-24,27493.28515625,-2.967065403073854,0.09863053613053613,Positive,0.00517171735541222,0.11385485876557307
2023-03-25,27494.70703125,0.00517171735541222,0.025,Positive,1.8171608313816145,0.10785918776990204
2023-03-26,27994.330078125,1.8171608313816145,0.10555555555555556,Positive,-3.052194511765327,0.10587647801933517
2023-03-27,27139.888671875,-3.052194511765327,0.14769921436588104,Positive,0.4725228944394866,0.11112770056222436
2023-03-28,27268.130859375,0.4725228944394866,0.026076555023923448,Positive,3.9618063755315402,0.0981488926116119
2023-03-29,28348.44140625,3.9618063755315402,0.01517857142857143,Positive,-1.11074503792854,0.06831719983349056
2023-03-30,28033.5625,-1.11074503792854,0.02716253443526171,Positive,1.5871042968584437,0.06361470956281848
2023-03-31,28478.484375,1.5871042968584437,0.16610881542699724,Positive,-0.23684272611504964,0.07325446374802722
2023-04-01,28411.03515625,-0.23684272611504964,0.053441220238095236,Positive,-0.745226498561502,0.07731749521061224
2023-04-02,28199.30859375,-0.745226498561502,0.08819444444444444,Positive,-1.450701847050495,0.07483733648045351
2023-04-03,27790.220703125,-1.450701847050495,-0.025648148148148153,Negative,1.35971982612757,0.05007342754987791
2023-04-04,28168.08984375,1.35971982612757,0.06712962962962962,Positive,0.0351267384649967,0.05593815249355022
2023-04-05,28177.984375,0.0351267384649967,0.024652777777777773,Positive,-0.4749940528704033,0.05729161054343684
2023-04-06,28044.140625,-0.4749940528704033,-0.041666666666666664,Negative,-0.4217681389550476,0.04745886752887564
2023-04-07,27925.859375,-0.4217681389550476,0.0770679012345679,Positive,0.07854922772632111,0.034738736929957166
2023-04-08,27947.794921875,0.07854922772632111,0.1028409090909091,Positive,1.3784839213681899,0.041795835337501995
2023-04-09,28333.05078125,1.3784839213681899,-0.00418252907223496,Negative,4.658621825410658,0.02859912483511923
2023-04-10,29652.98046875,4.658621825410658,0.10433396464646465,Positive,1.9629666758571807,0.04716799809149248
2023-04-11,30235.05859375,1.9629666758571807,0.07727272727272727,Positive,-0.3175315803583212,0.04861701204050644
2023-04-12,30139.052734375,-0.3175315803583212,0.05472181492342783,Positive,0.8627134839524819,0.0529125887755993
2023-04-13,30399.06640625,0.8627134839524819,0.17429584304584306,Positive,0.2849851088919886,0.0837643758773864
2023-04-14,30485.69921875,0.2849851088919886,0.004988425925925924,Positive,-0.5484641300179338,0.07346730797615185
2023-04-15,30318.49609375,-0.5484641300179338,-0.022222222222222216,Negative,-0.010358775680330279,0.055601146359990215
2023-04-16,30315.35546875,-0.010358775680330279,0.125,Positive,-2.8708571396173888,0.07405579337030951
2023-04-17,29445.044921875,-2.8708571396173888,0.047347883597883604,Positive,3.2348662229154,0.06591492464908363
2023-04-18,30397.552734375,3.2348662229154,0.08632981601731601,Positive,-5.18092051895368,0.06720879446973918
2023-04-19,28822.6796875,-5.18092051895368,0.0036447811447811473,Positive,-2.0008250880993006,0.059912075358503944
2023-04-20,28245.98828125,-2.0008250880993006,0.08313656040928769,Positive,-3.4308522518338824,0.04688932069613888
2023-04-21,27276.91015625,-3.4308522518338824,0.05,Positive,1.9818587979846258,0.05331954556386375
2023-04-22,27817.5,1.9818587979846258,0.3,Positive,-0.8128524647254443,0.09935129159560978
2023-04-23,27591.384765625,-0.8128524647254443,0.005625,Positive,-0.2393679129772508,0.08229772016703836
2023-04-24,27525.33984375,-0.2393679129772508,0.12576388888888887,Positive,2.841955147295372,0.09350000663718196
2023-04-25,28307.59765625,2.841955147295372,0.054832415059687785,Positive,0.4066170397882152,0.08900037792894935
2023-04-26,28422.701171875,0.4066170397882152,0.08097402597402596,Positive,3.6980508331842854,0.10004741290455575
2023-04-27,29473.787109375,3.6980508331842854,0.066511063011063,Positive,-0.453030993708059,0.0976723418476665
2023-04-28,29340.26171875,-0.453030993708059,0.01351536195286195,Positive,-0.31279011203009244,0.09246025069807537
2023-04-29,29248.48828125,-0.31279011203009244,-0.05,Negative,0.0694680667924441,0.042460250698075366
2023-04-30,29268.806640625,0.0694680667924441,-0.011306818181818182,Negative,-4.022160164248023,0.040041419529244206
2023-05-01,28091.568359375,-4.022160164248023,0.1767857142857143,Positive,2.0966033026897257,0.047330251728790684
2023-05-02,28680.537109375,2.0966033026897257,0.011111111111111112,Positive,1.135862564681589,0.04108435116470831
2023-05-03,29006.30859375,1.135862564681589,-0.06166666666666668,Negative,-0.5467695268338013,0.02070710935889507
2023-05-04,28847.7109375,-0.5467695268338013,0.10576749639249639,Positive,2.3803407820215394,0.02631517127052841
2023-05-05,29534.384765625,2.3803407820215394,0.012537878787878785,Positive,-2.1323001096775096,0.026175530818387954
2023-05-06,28904.623046875,-2.1323001096775096,-0.05345238095238096,Negative,-1.5556145829018653,0.025682333539476392
2023-05-07,28454.978515625,-1.5556145829018653,0.062022620687393414,Positive,-2.6733637409259936,0.036157967663649475
2023-05-08,27694.2734375,-2.6733637409259936,0.002335858585858585,Positive,-0.12817829272578907,0.011236559706527231
2023-05-09,27658.775390625,-0.12817829272578907,0.005576599326599324,Positive,-0.13384371045779275,0.010445915165882691
2023-05-10,27621.755859375,-0.13384371045779275,0.002128928170594838,Positive,-2.2481076150133283,0.019559571571205768
2023-05-11,27000.7890625,-2.2481076150133283,0.04583333333333333,Positive,-0.7251596524522896,0.010997548277039613
2023-05-12,26804.990234375,-0.7251596524522896,0.034312886933854675,Positive,-0.07801573211611013,0.01410826372646474
2023-05-13,26784.078125,-0.07801573211611013,0.0734375,Positive,0.5471927993601522,0.03223538957680488
2023-05-14,26930.638671875,0.5471927993601522,0.13841991341991342,Positive,0.9730726801279843,0.043149288538593455
2023-05-15,27192.693359375,0.9730726801279843,0.11017952635599694,Positive,-0.5738415341494774,0.05855552679147036
2023-05-16,27036.650390625,-0.5738415341494774,0.12323396300669028,Positive,1.3394867282656264,0.07536372160291192
2023-05-17,27398.802734375,1.3394867282656264,0.10956709956709956,Positive,-2.067950762275983,0.0907120318024126
2023-05-18,26832.208984375,-2.067950762275983,0.08833333333333333,Positive,0.21585968530852817,0.09678346037384118
2023-05-19,26890.12890625,0.21585968530852817,0.03185457516339869,Positive,0.8905016115201336,0.09643227297806176
2023-05-20,27129.5859375,0.8905016115201336,0.0747053872053872,Positive,-1.3850552916312875,0.09661339972168848
2023-05-21,26753.826171875,-1.3850552916312875,0.028560606060606054,Positive,0.3642513457661867,0.08091921295607316
2023-05-22,26851.27734375,0.3642513457661867,0.007609427609427606,Positive,1.3945303754316907,0.06626634170656324
2023-05-23,27225.7265625,1.3945303754316907,0.04006410256410256,Positive,-3.2723027651064163,0.05438493307190786
2023-05-24,26334.818359375,-3.2723027651064163,0.03888888888888889,Positive,0.5368887301425707,0.04428804583216347
2023-05-25,26476.20703125,0.5368887301425707,0.08348214285714287,Positive,0.9181223884829448,0.043595018621279125
2023-05-26,26719.291015625,0.9181223884829448,0.059494949494949496,Positive,0.5578834405180588,0.04754364352578638
2023-05-27,26868.353515625,0.5578834405180588,0.04191919191919193,Positive,4.53058267244435,0.0428599013420442
2023-05-28,28085.646484375,4.53058267244435,0.004761904761904757,Positive,-1.20973437068298,0.03946008687080115
2023-05-29,27745.884765625,-1.20973437068298,0.1338030303030303,Positive,-0.15690671469931194,0.05748774439845868
2023-05-30,27702.349609375,-0.15690671469931194,0.04348958333333333,Positive,-1.742420455507676,0.057977098794063084
2023-05-31,27219.658203125,-1.742420455507676,-0.008680555555555558,Negative,-1.4683709247646393,0.05118146387342816
2023-06-01,26819.97265625,-1.4683709247646393,0.012154882154882153,Positive,1.601855426947596,0.040991855201676634
2023-06-02,27249.58984375,1.601855426947596,-0.040693682860349516,Negative,-0.640233260391676,0.026679193436633917
2023-06-03,27075.12890625,-0.640233260391676,-0.0018939393939393957,Negative,0.1622799291266075,0.020420174677615154
2023-06-04,27119.06640625,0.1622799291266075,0.044483418367346934,Positive,-5.011119223804861,0.02609467662124975
2023-06-05,25760.09765625,-5.011119223804861,0.13083333333333333,Positive,5.7402171630208665,0.025670434197007326
2023-06-06,27238.783203125,5.7402171630208665,-0.03397435897435897,Negative,-3.277624957004588,0.014604156724479856
2023-06-07,26345.998046875,-3.277624957004588,0.08938191438191438,Positive,0.6157244440365472,0.028613081001261274
2023-06-08,26508.216796875,0.6157244440365472,0.05439393939393939,Positive,-0.10503081775867784,0.034647232035412305
2023-06-09,26480.375,-0.10503081775867784,0.08277356902356901,Positive,-2.375852931180167,0.0522854108759721
2023-06-10,25851.240234375,-2.375852931180167,0.08932429453262787,Positive,0.3439979419507688,0.065316587151196
2023-06-11,25940.16796875,0.3439979419507688,0.07633101851851852,Positive,-0.1452109670044499,0.06986624431564907
2023-06-12,25902.5,-0.1452109670044499,0.08855534511784512,Positive,0.06265231396582749,0.06382653171343648
2023-06-13,25918.728515625,0.06265231396582749,0.07529987373737373,Positive,-3.0636253390914137,0.07943713638654115
2023-06-14,25124.67578125,-3.0636253390914137,0.02430622009569378,Positive,1.7979087727655774,0.07014060863136679
2023-06-15,25576.39453125,1.7979087727655774,0.10384615384615385,Positive,2.9365685552642073,0.07720521069596885
2023-06-16,26327.462890625,2.9365685552642073,0.0997406462585034,Positive,0.6959002900740696,0.07962907887238803
2023-06-17,26510.67578125,0.6959002900740696,0.21708333333333335,Positive,-0.6580854145875503,0.09788037012963167
2023-06-18,26336.212890625,-0.6580854145875503,0.15029761904761904,Positive,1.9547852547670663,0.10844702734807461
2023-06-19,26851.029296875,1.9547852547670663,0.06863636363636363,Positive,5.498705349618893,0.10560145856500583
2023-06-20,28327.48828125,5.498705349618893,0.016393745143745145,Positive,6.000562340273241,0.09718629733734462
2023-06-21,30027.296875,6.000562340273241,0.09005050505050505,Positive,-0.38303689299371557,0.10657833804517478
2023-06-22,29912.28125,-0.38303689299371557,0.014343434343434344,Positive,2.618280743799839,0.093792235259072
2023-06-23,30695.46875,2.618280743799839,0.13146898674242424,Positive,-0.47815994828226405,0.09832485532820355
